"HelpUri","ResolvedCommandName","DisplayName","ReferencedCommand","ResolvedCommand","Definition","Options","Description","OutputType","Name","CommandType","Source","Version","Visibility","ModuleName","Module","RemotingCapability","Parameters","ParameterSets"
"",,"Add-AdlAnalyticsDataSource",,,,"None","",,"Add-AdlAnalyticsDataSource","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Add-AdlAnalyticsFirewallRule",,,,"None","",,"Add-AdlAnalyticsFirewallRule","Alias","Az.DataLakeAnalytics","1.0.2","Public","Az.DataLakeAnalytics","Az.DataLakeAnalytics","PowerShell",,
"",,"Add-AdlStoreFirewallRule",,,,"None","",,"Add-AdlStoreFirewallRule","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Add-AdlStoreItemContent",,,,"None","",,"Add-AdlStoreItemContent","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Add-AdlStoreTrustedIdProvider",,,,"None","",,"Add-AdlStoreTrustedIdProvider","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Add-AdlStoreVirtualNetworkRule",,,,"None","",,"Add-AdlStoreVirtualNetworkRule","Alias","Az.DataLakeStore","1.3.0","Public","Az.DataLakeStore","Az.DataLakeStore","PowerShell",,
"",,"Add-AppPackage",,,,"None","",,"Add-AppPackage","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-AppPackageVolume",,,,"None","",,"Add-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-AppProvisionedPackage",,,,"None","",,"Add-AppProvisionedPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ASRReplicationProtectedItemDisk",,,,"None","",,"Add-ASRReplicationProtectedItemDisk","Alias","Az.RecoveryServices","5.2.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Add-ASRReplicationProtectedItemDisk",,,,"None","",,"Add-ASRReplicationProtectedItemDisk","Alias","Az.RecoveryServices","4.3.0","Public","Az.RecoveryServices","Az.RecoveryServices","PowerShell",,
"",,"Add-AssertionOperator",,,,"None","",,"Add-AssertionOperator","Alias","Pester","5.3.3","Public","Pester","Pester","PowerShell",,
"",,"Add-AssertionOperator",,,,"None","",,"Add-AssertionOperator","Alias","Pester","5.3.1","Public","Pester","Pester","PowerShell",,
"",,"Add-AssertionOperator",,,,"None","",,"Add-AssertionOperator","Alias","Pester","5.2.1","Public","Pester","Pester","PowerShell",,
"",,"Add-AssertionOperator",,,,"None","",,"Add-AssertionOperator","Alias","Pester","5.2.2","Public","Pester","Pester","PowerShell",,
"",,"Add-AzAccount",,,,"None","",,"Add-AzAccount","Alias","Az.Accounts","2.7.3","Public","Az.Accounts","Az.Accounts","PowerShell",,
"",,"Add-AzAccount",,,,"None","",,"Add-AzAccount","Alias","Az.Accounts","2.5.1","Public","Az.Accounts","Az.Accounts","PowerShell",,
"",,"Add-AzApplicationGatewayBackendHttpSettings",,,,"None","",,"Add-AzApplicationGatewayBackendHttpSettings","Alias","Az.Network","4.15.0","Public","Az.Network","Az.Network","PowerShell",,
"",,"Add-AzApplicationGatewayBackendHttpSettings",,,,"None","",,"Add-AzApplicationGatewayBackendHttpSettings","Alias","Az.Network","4.10.0","Public","Az.Network","Az.Network","PowerShell",,
"",,"Add-AzIotHubDCL",,,,"None","",,"Add-AzIotHubDCL","Alias","Az.IotHub","2.7.4","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-AzIotHubDCL",,,,"None","",,"Add-AzIotHubDCL","Alias","Az.IotHub","2.7.3","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-AzIotHubEHCG",,,,"None","",,"Add-AzIotHubEHCG","Alias","Az.IotHub","2.7.4","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-AzIotHubEHCG",,,,"None","",,"Add-AzIotHubEHCG","Alias","Az.IotHub","2.7.3","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-AzIotHubMsgEnrich",,,,"None","",,"Add-AzIotHubMsgEnrich","Alias","Az.IotHub","2.7.4","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-AzIotHubMsgEnrich",,,,"None","",,"Add-AzIotHubMsgEnrich","Alias","Az.IotHub","2.7.3","Public","Az.IotHub","Az.IotHub","PowerShell",,
"",,"Add-ProvisionedAppPackage",,,,"None","",,"Add-ProvisionedAppPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisionedAppSharedPackageContainer",,,,"None","",,"Add-ProvisionedAppSharedPackageContainer","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisionedAppxPackage",,,,"None","",,"Add-ProvisionedAppxPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisioningPackage",,,,"None","",,"Add-ProvisioningPackage","Alias","Provisioning","3.0","Public","Provisioning","Provisioning","PowerShell",,
"",,"Add-TrustedProvisioningCertificate",,,,"None","",,"Add-TrustedProvisioningCertificate","Alias","Provisioning","3.0","Public","Provisioning","Provisioning","PowerShell",,
"",,"Apply-WindowsUnattend",,,,"None","",,"Apply-WindowsUnattend","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
