"Name","Rating","Reviews"
"Build Web-Based Tools with PowerShell Universal","5/5","-"
"Build Web-Based Tools with PowerShell Universal","4/5","-"
"Build Web-Based Tools with PowerShell Universal","5/5","Great content and demo. A lot of good polish on the Universal Dashboard."
"Build Web-Based Tools with PowerShell Universal","3/5","Kinda felt like a sales pitch"
"Build Web-Based Tools with PowerShell Universal","4/5","-"
"Build Web-Based Tools with PowerShell Universal","5/5","-"
"Build Web-Based Tools with PowerShell Universal","5/5","-"
"Build Web-Based Tools with PowerShell Universal","5/5","Great intro to PSU, really looking forward to v3. Loved the Pages part, I hadn't had time to play with that yet and a good demo was exactly what I needed. You should mention next time that there is a free version for those who weren't familiar."
"Build Web-Based Tools with PowerShell Universal","5/5","Great content and demo. A lot of good polish on the Universal Dashboard."
"Build Web-Based Tools with PowerShell Universal","5/5","I’m excited to see if this would be helpful for my organization."
