"Name","Rating","Reviews"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","Brilliant "
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","Got to learn few tips and trick to deal with Poweshell parameter gotchas."
"How to be a parameter ninja.","5/5","Great session. I almost skipped it because I know parameters really well, but you called out a few gems I didn't realize or consider. Thank you."
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","-"
"How to be a parameter ninja.","5/5","One of the best talks of the conference. I really filled in some gaps in my knowledge."
