"Name","Rating","Reviews"
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Great deep dive on k8s. Very detailed, fantastic delivery."
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Loved it. Really good thorough presentation and demos."
"Inside Kubernetes - An Architectural Deep Dive","5/5","Fantastic overview, then dicing into the details"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Fantastic overview, then diving into the details"
"Inside Kubernetes - An Architectural Deep Dive","5/5","""Great presentation, the presenter was funny and knowledgeable!\n\n10/10"""
"Inside Kubernetes - An Architectural Deep Dive","5/5","Excellent presentation from an extremely knowledgeable professional. Thank you!"
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Great overview of the building blocks and operation. "
"Inside Kubernetes - An Architectural Deep Dive","5/5","Awesome presentation that did a great job of staying highlevel enough for an intro but also deep enough to show off its strenghts. Really eye opening and inspiring to check out this technology. "
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Great session"
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
"Inside Kubernetes - An Architectural Deep Dive","5/5","Excellent, the best of the Summit. Great topic and exceptional delivery. "
"Inside Kubernetes - An Architectural Deep Dive","5/5","-"
