"Name","Rating","Reviews"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","5/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","Started off great! Ended as a sales pitch. Overall it was great to see a summary of all the options available."
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","5/5","Loved the energy"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","5/5","Adil is energetic and passionate. It comes through in his presentation and it makes it super enjoyable. "
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","3/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","Got a bit salesy, but still a good demo. Lots of good info."
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","5/5","Enjoyable, knowledgable speaker. Well worth my time."
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","5/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","4/5","-"
"Is it Down Again PowerShell Gallery Outage Mitigation Strategies","3/5","-"
