"Name","Rating","Reviews"
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","I have seen what crescendo does, but it was good to see how to actually use it. Great demo. "
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","Great job, particularly for a last minute session, thanks Stevie!"
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","-"
"Lets' Talk PowerShell Crescendo!","5/5","Can't wait to use this and make our poor Linux team's lives easier."
"Lets' Talk PowerShell Crescendo!","5/5","Well done. Could tell you didn't have much time to work on it but it still covered the topic well."
"Lets' Talk PowerShell Crescendo!","5/5","-"
