"Name","Rating","Reviews"
"OpenSSH investments in Windows & Azure","5/5","Very entertaining and educational. "
"OpenSSH investments in Windows & Azure","4/5","-"
"OpenSSH investments in Windows & Azure","5/5","Awesome session, way to roll with it."
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","4/5","-"
"OpenSSH investments in Windows & Azure","5/5","Great presentation and content. "
"OpenSSH investments in Windows & Azure","4/5","Liked the look at YUBI key login. Opens up potentials for work. The SSH Arc access I still need to wrap my head around use cases."
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","5/5","Great presentation and demo."
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","4/5","-"
"OpenSSH investments in Windows & Azure","4/5","-"
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","5/5","Really fun demo time, think Danny showed some cool technologies and he jived well with the audience. "
"OpenSSH investments in Windows & Azure","5/5","Probably one of the best examples of handling a live demo with humor and mistakes I've seen! Oh, and the content was great too ) "
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","5/5","-"
"OpenSSH investments in Windows & Azure","5/5","-"
