"Name","Rating","Reviews"
"Optimizing Visual Studio Code for Powershell Development","4/5","Jumped all over the place. Great information, just not the best flow."
"Optimizing Visual Studio Code for Powershell Development","5/5","Good info. The presenter is clever and funny. Bundle of great info!"
"Optimizing Visual Studio Code for Powershell Development","5/5","Clippy as a pet! 😆"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","Very interesting presentation, some great tools that I was unaware of"
"Optimizing Visual Studio Code for Powershell Development","4/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","Great content. Highly appreciated. "
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","Great content and lots of nuggets of knowledge."
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","I learned a lot."
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","-"
"Optimizing Visual Studio Code for Powershell Development","5/5","My Monday will be shot next week while I play with all of these awesome extensions! Worth it!"
"Optimizing Visual Studio Code for Powershell Development","5/5","Thank you for the extension pack!!!"
"Optimizing Visual Studio Code for Powershell Development","5/5","Awesome job. I liked this session and I walked away with some new ideas."
"Optimizing Visual Studio Code for Powershell Development","3/5","-"
