"Name","Rating","Reviews"
"PowerSheller's Guide to Terraform","5/5","Great intro to terraform."
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","5/5","Great session. I always thought it was more complicated than that. Thanks for removing some of mystery."
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","2/5","To much of a high level overview. Would have liked to see some use cases and different scenarios."
"PowerSheller's Guide to Terraform","5/5","Great delivery of information. Certainly understand the technology more after the session."
"PowerSheller's Guide to Terraform","3/5","-"
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","5/5","I love the PowerShell to Terraform comparisons. That makes it so much easier to transition."
"PowerSheller's Guide to Terraform","5/5","-"
"PowerSheller's Guide to Terraform","4/5","-"
"PowerSheller's Guide to Terraform","5/5","-"
