"Name","Rating","Reviews"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","Great to see the demos"
"Powershell Azure Functions The MIssing Manual","5/5","Really good insights, definitely going to be taking some of this back to my team!"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","This was great. Tons of real world use cases and problems solved with actual examples. I’m very glad to have attended this talk."
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","4/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","-"
"Powershell Azure Functions The MIssing Manual","5/5","-"
