"Name","Rating","Reviews"
"Publishing and Managing Modules in an Internal Repository","5/5","Great tech detail. Solid delivery."
"Publishing and Managing Modules in an Internal Repository","4/5","-"
"Publishing and Managing Modules in an Internal Repository","5/5","-"
"Publishing and Managing Modules in an Internal Repository","5/5","Fantastic talk. You are making me reconsider my current file share practices for repos."
"Publishing and Managing Modules in an Internal Repository","5/5","Great demo"
"Publishing and Managing Modules in an Internal Repository","5/5","-"
"Publishing and Managing Modules in an Internal Repository","5/5","Loved all the interesting little tidbits to work around problems"
"Publishing and Managing Modules in an Internal Repository","5/5","-"
"Publishing and Managing Modules in an Internal Repository","5/5","-"
"Publishing and Managing Modules in an Internal Repository","5/5","My Tuesday is shot as I will be creating my internal repository that day. Thanks Kevin!"
