"Name","Rating","Reviews"
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","Great presentation. I am definitely going to revisit DSC."
"The DSC project blueprint or how to start a DSC project the right way","5/5","This was fantastic, went deep enough to be useful to experienced folks, but explained things along the way for newer folks.  Thank you Raimund!!"
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","Excellent session full of never before seen information around DSC"
"The DSC project blueprint or how to start a DSC project the right way","5/5","This was fantastic, went deep enough to be useful to experienced folks, but explained things along the way for newer folks.  Thank you Raimund!!"
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","Wonderful session, can't wait to get into the resources and try to figure it all out"
"The DSC project blueprint or how to start a DSC project the right way","5/5","""Really good information and showing us the functions of the tool. \n"""
"The DSC project blueprint or how to start a DSC project the right way","5/5","Great presentation and great info. He really covered the topic well and didnt leave me with any questions. "
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","-"
"The DSC project blueprint or how to start a DSC project the right way","5/5","Quite possibly the most useful session for me at the summit, and definitely the best take on DSC I’ve seen yet. So good."
