"Name","Rating","Reviews"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","Excellent presentation, looking forward to get to playing with it "
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","Fantastic session, definitely will dive into Sampler when home."
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","Amazing presentation and solution which can actually help"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","Great content and delivery!"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","-"
"The PowerShell module toolbox and templates for Continuous Delivery","5/5","Sweeeet."
